# Top of Book CSV Output
# Generated by TopOfBookTracker
# Symbol: 
# Date Range: 
# Columns:
#   timestamp: ISO 8601 timestamp (YYYY-MM-DDTHH:MM:SS.nnnnnnnnnZ)
#   symbol: Trading symbol
#   best_bid: Best bid price in dollars (converted from ticks)
#   best_ask: Best ask price in dollars (converted from ticks)
#   bid_volume: Volume at best bid level
#   ask_volume: Volume at best ask level
#   mid_price: Mid price in dollars ((bid + ask) / 2)
#   spread: Bid-ask spread in dollars (ask - bid)

timestamp,symbol,best_bid,best_ask,bid_volume,ask_volume,mid_price,spread
2024-06-28T15:34:12.320082315Z,ESU4,5559.50,5559.75,4,818,5559.62,0.25
2024-06-28T15:34:12.349511163Z,ESU4,5559.50,5559.75,4,818,5559.62,0.25
2024-06-28T15:34:12.379308791Z,ESU4,5559.50,5559.75,4,818,5559.62,0.25
2024-06-28T15:34:12.389647455Z,ESU4,5559.50,5559.75,4,818,5559.62,0.25
2024-06-28T15:34:12.389718160Z,ESU4,5559.50,5559.75,4,818,5559.62,0.25
2024-06-28T15:34:12.390675138Z,ESU4,5559.50,5559.75,4,818,5559.62,0.25
2024-06-28T15:34:12.394170903Z,ESU4,5559.50,5559.75,4,818,5559.62,0.25
2024-06-28T15:34:12.470320495Z,ESU4,5559.50,5559.75,4,815,5559.62,0.25
2024-06-28T15:34:12.470423957Z,ESU4,5559.50,5559.75,4,815,5559.62,0.25
2024-06-28T15:34:12.581127147Z,ESU4,5559.50,5559.75,4,795,5559.62,0.25
2024-06-28T15:34:12.581387597Z,ESU4,5559.50,5559.75,4,783,5559.62,0.25
2024-06-28T15:34:12.581744605Z,ESU4,5559.50,5559.75,4,778,5559.62,0.25
2024-06-28T15:34:12.581751957Z,ESU4,5559.50,5559.75,4,778,5559.62,0.25
2024-06-28T15:34:12.582267998Z,ESU4,5559.50,5559.75,4,764,5559.62,0.25
2024-06-28T15:34:12.582406285Z,ESU4,5559.50,5559.75,4,753,5559.62,0.25
2024-06-28T15:34:12.582415229Z,ESU4,5559.50,5559.75,4,753,5559.62,0.25
2024-06-28T15:34:12.583079857Z,ESU4,5559.50,5559.75,4,752,5559.62,0.25
2024-06-28T15:34:12.584823032Z,ESU4,5559.50,5559.75,4,745,5559.62,0.25
2024-06-28T15:34:12.593565431Z,ESU4,5559.50,5559.75,4,743,5559.62,0.25
2024-06-28T15:34:12.594867347Z,ESU4,5559.50,5559.75,4,743,5559.62,0.25
2024-06-28T15:34:12.602176987Z,ESU4,5559.50,5559.75,4,726,5559.62,0.25
2024-06-28T15:34:12.604918851Z,ESU4,5559.50,5559.75,4,726,5559.62,0.25
2024-06-28T15:34:12.605468666Z,ESU4,5559.50,5559.75,4,726,5559.62,0.25
2024-06-28T15:34:12.606398508Z,ESU4,5559.50,5559.75,4,726,5559.62,0.25
2024-06-28T15:34:12.622282250Z,ESU4,5559.50,5559.75,4,721,5559.62,0.25
2024-06-28T15:34:12.638927673Z,ESU4,5559.50,5559.75,4,721,5559.62,0.25
